"RefSeq.Locus.Tag"	"Mccann 2011"	"CF fraction of Souza 2011"	"membrane of Souza 2011"	"Malen 2011"	"Malen 2010 TritonX"	"Malen 2007"	"Braunstein 2000"	"Chitale 2001"	"Wolfe 2010"	"Gu 2003"	"Sulzenbacher 2006"	"Mawuenyega 2005 Membrane"	"Mawuenyega 2005 Cell Wall"	"Rosenkrands 2000"	"Gomez 2000"	"McDonough 2008"	"Xiong 2005"	"Count of num of times identified as exported"	"Signal P predicts sp"	"TatP predicts Tat sp"	"TMHMM predicts transmembrane domain"	"num of times predicted to have an export signal"	"Macaque Deadman Dutta 2010"	"Macrophage TRASH Jyothi 2005"	"Macrophage TRASH BCG Cole 2005"	"Macrophage enriched in acidified phagosomes TRASH BCG Cole 2005"	"Mouse TRASH Sassetti"	"Mouse Deadman Lamichhane 2005"	"Cholesterol in vitro TRASH Griffin 2011"	"in vitro essential Sassetti 2003"	"in vitro essential Griffin 2011"	"BALB div c in vivo expressed Talaat 2004"	"SCID in vivo expressed Talaat 2004"	"only 7H9 expressed Talaat 2004"	"in vivo only expressed Talaat 2004"	"Sasky serine hydrolase"	"Identified in Bell 2012 (high density mspec-any fractions)"
"Rv2089c"																		0		"Y"		1								"non-essential"	"non-essential"						
"Rv2090"																		0				0								"non-essential"	"non-essential"						
"Rv2091c"			"Y"	"Y"					"Y"									3			"Y"	1	"Y"							"non-essential"	"non-essential"						"Y"
"Rv2092c"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv2093c"			"Y"	"Y"														2			"Y"	1								"essential"	"essential"						
"Rv2094c"			"Y"	"Y"														2			"Y"	1								"no-data"	"non-essential"						
"Rv2095c"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						
"Rv2096c"									"Y"			"Y"						2				0								"non-essential"	"non-essential"						
"Rv2097c"										"Y"			"Y"					2				0								"no-data"	"essential"						"Y"
"Rv2098c"																		0				0								"no-data"	"no-data"						
"Rv2099c"																		0				0								"no-data"	"no-data"						
"Rv2100"									"Y"									1				0								"non-essential"	"non-essential"						
"Rv2101"									"Y"									1				0								"non-essential"	"non-essential"						
"Rv2102"																		0				0								"non-essential"	"non-essential"						
"Rv2103c"																		0				0								"non-essential"	"non-essential"						
"Rv2104c"																		0				0								"non-essential"	"non-essential"						
"Rv2105"																		0				0								"n/a"	"non-essential"						"Y"
"Rv2106"																		0				0								"n/a"	"non-essential"						
"Rv2107"																		0	"Y"			1								"non-essential"	"non-essential"						
"Rv2108"																		0				0								"non-essential"	"non-essential"						
"Rv2109c"			"Y"											"Y"				2				0								"essential"	"essential"						"Y"
"Rv2110c"		"Y"	"Y"			"Y"								"Y"				4				0								"essential"	"essential"						"Y"
"Rv2111c"																		0				0								"essential"	"non-essential"						"Y"
"Rv2112c"			"Y"															1				0								"growth-defect"	"essential"						"Y"
"Rv2113"	"Y"		"Y"	"Y"														3			"Y"	1								"non-essential"	"non-essential"						
"Rv2114"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv2115c"									"Y"									1				0								"non-essential"	"essential"						"Y"
"Rv2116"			"Y"															1	"Y"			1								"non-essential"	"non-essential"						"Y"
"Rv2117"																		0				0								"non-essential"	"non-essential"						
"Rv2118c"			"Y"															1				0							"Y"	"non-essential"	"non-essential"						
"Rv2119"																		0				0								"non-essential"	"non-essential"						
"Rv2120c"			"Y"	"Y"														2	"Y"		"Y"	2								"non-essential"	"non-essential"						"Y"
"Rv2121c"			"Y"															1				0								"essential"	"essential"						"Y"
"Rv2122c"									"Y"									1				0								"essential"	"non-essential"						
"Rv2123"																		0				0								"no-data"	"non-essential"						
"Rv2124c"																		0				0								"non-essential"	"non-essential"						
"Rv2125"																		0				0			"Y"					"non-essential"	"non-essential"						
"Rv2126c"																		0				0								"non-essential"	"non-essential"						
"Rv2127"	"Y"		"Y"	"Y"														3			"Y"	1			"Y"					"non-essential"	"non-essential"						
"Rv2128"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv2129c"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						"Y"
"Rv2130c"			"Y"															1				0								"essential"	"essential"						
"Rv2131c"			"Y"															1				0								"no-data"	"essential"						"Y"
"Rv2132"																		0				0								"non-essential"	"non-essential"						
"Rv2133c"																		0				0								"non-essential"	"non-essential"						
"Rv2134c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv2135c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv2136c"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"						
"Rv2137c"																		0				0								"non-essential"	"non-essential"						
"Rv2138"		"Y"	"Y"	"Y"														3	"Y"		"Y"	2								"essential"	"essential"						
"Rv2139"			"Y"															1				0								"non-essential"	"essential"						
"Rv2140c"		"Y"	"Y"			"Y"								"Y"				4				0						"Y"		"non-essential"	"non-essential"						"Y"
"Rv2141c"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv2142c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv2143"																		0				0			"Y"					"non-essential"	"non-essential"						
"Rv2144c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv2145c"			"Y"						"Y"									2				0								"essential"	"essential"						"Y"
"Rv2146c"			"Y"	"Y"			"Y"											3			"Y"	1								"non-essential"	"non-essential"						
"Rv2147c"																		0				0								"no-data"	"essential"						
"Rv2148c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv2149c"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv2150c"																		0				0								"essential"	"essential"						
"Rv2151c"																		0			"Y"	1								"essential"	"essential"						"Y"
"Rv2152c"																		0				0			"Y"					"essential"	"essential"						
"Rv2153c"																		0				0								"essential"	"essential"						
"Rv2154c"																		0			"Y"	1								"essential"	"essential"						
"Rv2155c"																		0				0								"essential"	"essential"						
"Rv2156c"																		0			"Y"	1								"essential"	"essential"						"Y"
"Rv2157c"																		0				0								"essential"	"essential"						"Y"
"Rv2158c"		"Y"																1				0								"no-data"	"essential"						"Y"
"Rv2159c"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						"Y"
"Rv2160A"																		0				0								"no-data"	"non-essential"						
"Rv2160c"																		0				0								"n/a"	"non-essential"						
"Rv2161c"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						"Y"
"Rv2162c"																		0				0								"non-essential"	"non-essential"						
"Rv2163c"							"Y"											1			"Y"	1								"essential"	"essential"						
"Rv2164c"																		0			"Y"	1								"essential"	"essential"						
"Rv2165c"			"Y"															1				0								"essential"	"essential"						
"Rv2166c"			"Y"															1				0								"essential"	"essential"						"Y"
"Rv2167c"																		0				0								"no-data"	"non-essential"						
"Rv2168c"																		0				0								"no-data"	"non-essential"						"Y"
"Rv2169c"			"Y"	"Y"														2			"Y"	1								"no-data"	"non-essential"						
"Rv2170"																		0				0								"non-essential"	"non-essential"						
"Rv2171"		"Y"	"Y"	"Y"					"Y"									4	"Y"		"Y"	2								"non-essential"	"non-essential"						
"Rv2172c"			"Y"															1				0								"non-essential"	"essential"						"Y"
"Rv2173"																		0				0								"no-data"	"non-essential"						
"Rv2174"			"Y"	"Y"														2			"Y"	1								"essential"	"essential"						
"Rv2175c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv2176"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv2177c"																		0				0								"non-essential"	"non-essential"						
"Rv2178c"									"Y"									1				0								"essential"	"essential"						"Y"
"Rv2179c"																		0				0								"essential"	"non-essential"						
"Rv2180c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv2181"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"						
"Rv2182c"										"Y"								1				0								"essential"	"essential"						
"Rv2183c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv2184c"																		0				0								"non-essential"	"non-essential"						
"Rv2185c"			"Y"						"Y"					"Y"				3				0								"non-essential"	"non-essential"						"Y"
"Rv2186c"																		0				0								"no-data"	"essential"						
"Rv2187"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						"Y"
"Rv2188c"																		0				0								"essential"	"essential"						
"Rv2189c"																		0				0								"non-essential"	"non-essential"						
"Rv2190c"						"Y"												1	"Y"		"Y"	2								"non-essential"	"essential"						
"Rv2191"									"Y"									1				0								"non-essential"	"non-essential"						
"Rv2192c"			"Y"			"Y"												2				0								"essential"	"essential"						
"Rv2193"																		0			"Y"	1								"essential"	"essential"						
"Rv2194"			"Y"	"Y"														2	"Y"		"Y"	2								"essential"	"essential"						"Y"
"Rv2195"		"Y"	"Y"	"Y"					"Y"									4			"Y"	1								"essential"	"essential"						"Y"
"Rv2196"			"Y"	"Y"														2			"Y"	1								"essential"	"essential"						"Y"
"Rv2197c"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"						
"Rv2198c"		"Y"	"Y"	"Y"					"Y"									4			"Y"	1								"growth-defect"	"essential"						"Y"
"Rv2199c"																		0			"Y"	1								"non-essential"	"non-essential"						"Y"
"Rv2200c"	"Y"		"Y"	"Y"		"Y"												4			"Y"	1								"essential"	"essential"						"Y"
"Rv2201"			"Y"			"Y"												2				0								"essential"	"essential"						
"Rv2202c"		"Y"	"Y"															2				0								"no-data"	"essential"						"Y"
"Rv2203"	"Y"		"Y"	"Y"														3			"Y"	1								"non-essential"	"non-essential"						"Y"
"Rv2204c"		"Y"	"Y"															2				0								"non-essential"	"non-essential"						"Y"
"Rv2205c"									"Y"									1				0								"non-essential"	"non-essential"						
"Rv2206"																		0			"Y"	1		"Y"					"Y"	"non-essential"	"non-essential"						"Y"
"Rv2207"			"Y"															1				0								"no-data"	"non-essential"						
"Rv2208"																		0	"Y"		"Y"	2								"non-essential"	"non-essential"						
"Rv2209"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv2210c"		"Y"	"Y"															2				0								"essential"	"essential"						"Y"
"Rv2211c"		"Y"	"Y"						"Y"									3				0					"Y"			"essential"	"essential"						"Y"
"Rv2212"		"Y"																1				0								"non-essential"	"non-essential"						"Y"
"Rv2213"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						"Y"
"Rv2214c"									"Y"	"Y"								2			"Y"	1		"Y"						"non-essential"	"non-essential"						"Y"
"Rv2215"			"Y"						"Y"									2				0								"essential"	"essential"						"Y"
"Rv2216"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						"Y"
"Rv2217"																		0				0								"essential"	"essential"						
"Rv2218"																		0				0								"essential"	"essential"						
"Rv2219"			"Y"	"Y"														2			"Y"	1								"essential"	"essential"						"Y"
"Rv2219A"			"Y"	"Y"														2			"Y"	1								"no-data"	"non-essential"						
"Rv2220"		"Y"	"Y"			"Y"			"Y"					"Y"				5				0								"essential"	"essential"						"Y"
"Rv2221c"									"Y"									1				0								"essential"	"essential"						
"Rv2222c"			"Y"															1				0								"no-data"	"non-essential"						"Y"
"Rv2223c"		"Y"							"Y"						"Y"			3	"Y"		"Y"	2								"non-essential"	"non-essential"					"Y"	
"Rv2224c"		"Y"	"Y"	"Y"		"Y"												4	"Y"		"Y"	2		"Y"			"Y"	"Y"		"non-essential"	"non-essential"					"Y"	"Y"
"Rv2225"												"Y"						1				0								"essential"	"essential"						
"Rv2226"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv2227"																		0				0								"no-data"	"non-essential"						
"Rv2228c"			"Y"															1				0								"no-data"	"essential"						
"Rv2229c"			"Y"									"Y"						2				0								"essential"	"non-essential"						"Y"
"Rv2230c"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv2231c"																		0				0					"Y"			"essential"	"non-essential"						
"Rv2232"																		0				0								"non-essential"	"non-essential"						
"Rv2234"																		0				0								"non-essential"	"non-essential"						
"Rv2235"			"Y"	"Y"														2			"Y"	1								"essential"	"essential"						
"Rv2236c"						"Y"												1			"Y"	1								"no-data"	"non-essential"						
"Rv2237"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv2238c"		"Y"																1				0								"no-data"	"non-essential"						
"Rv2239c"																		0				0						"Y"	"Y"	"no-data"	"non-essential"						
"Rv2240c"	"Y"	"Y"	"Y"															3				0								"non-essential"	"non-essential"						"Y"
"Rv2241"		"Y"	"Y"			"Y"			"Y"	"Y"								5				0					"Y"			"growth-defect"	"essential"						"Y"
"Rv2242"																		0				0								"essential"	"essential"						
"Rv2243"																		0				0								"no-data"	"non-essential"						
"Rv2244"		"Y"	"Y"						"Y"									3				0								"essential"	"essential"						"Y"
"Rv2245"		"Y"	"Y"						"Y"	"Y"			"Y"					5				0								"essential"	"essential"						"Y"
"Rv2246"		"Y"	"Y"						"Y"	"Y"								4				0								"essential"	"essential"						"Y"
"Rv2247"									"Y"									1				0								"essential"	"essential"						"Y"
"Rv2248"																		0				0								"no-data"	"non-essential"						
"Rv2249c"			"Y"															1				0								"no-data"	"non-essential"						
"Rv2250A"																		0				0								"no-data"	"non-essential"						
"Rv2250c"																		0				0								"non-essential"	"non-essential"						
"Rv2251"		"Y"	"Y"			"Y"												3	"Y"			1								"essential"	"non-essential"						"Y"
"Rv2252"																		0				0								"growth-defect"	"non-essential"						
"Rv2253"		"Y"				"Y"												2	"Y"			1								"no-data"	"non-essential"						"Y"
"Rv2254c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv2255c"																		0				0								"non-essential"	"non-essential"						
"Rv2256c"																		0				0								"no-data"	"non-essential"						
"Rv2257c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv2258c"		"Y"	"Y"						"Y"									3				0								"non-essential"	"non-essential"						"Y"
"Rv2259"																		0				0								"no-data"	"non-essential"						"Y"
"Rv2260"									"Y"									1				0								"essential"	"non-essential"						
"Rv2261c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv2262c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv2263"																		0				0								"non-essential"	"non-essential"						
"Rv2264c"	"Y"																	1				0								"non-essential"	"non-essential"						
"Rv2265"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv2266"																		0				0								"non-essential"	"non-essential"						
"Rv2267c"																		0				0								"non-essential"	"non-essential"						
"Rv2268c"																		0				0								"essential"	"non-essential"						
"Rv2269c"																		0				0				"Y"				"non-essential"	"non-essential"						
"Rv2270"																		0	"Y"			1								"non-essential"	"non-essential"						
"Rv2271"																		0				0								"non-essential"	"non-essential"						
"Rv2272"				"Y"														1			"Y"	1								"no-data"	"non-essential"						
"Rv2273"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv2274c"																		0				0								"non-essential"	"non-essential"						
"Rv2275"																		0				0					"Y"			"no-data"	"non-essential"						
"Rv2276"																		0				0								"no-data"	"non-essential"						
"Rv2277c"																		0	"Y"			1					"Y"			"no-data"	"non-essential"						"Y"
"Rv2278"																		0				0								"n/a"	"non-essential"						"Y"
"Rv2279"																		0				0								"no-data"	"non-essential"						
"Rv2280"		"Y"	"Y"						"Y"									3				0								"non-essential"	"non-essential"						"Y"
"Rv2281"																		0			"Y"	1								"no-data"	"non-essential"						
"Rv2282c"																		0				0		"Y"						"non-essential"	"non-essential"						
"Rv2283"																		0				0								"essential"	"non-essential"						
"Rv2284"	"Y"		"Y"	"Y"														3			"Y"	1								"no-data"	"non-essential"					"Y"	"Y"
"Rv2285"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv2286c"																		0				0								"non-essential"	"non-essential"						
"Rv2287"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv2288"													"Y"					1				0								"non-essential"	"non-essential"						
"Rv2289"			"Y"	"Y"			"Y"			"Y"								4	"Y"		"Y"	2								"non-essential"	"non-essential"						
"Rv2290"	"Y"	"Y"													"Y"			3	"Y"			1								"non-essential"	"non-essential"						"Y"
"Rv2291"																		0				0								"non-essential"	"non-essential"						"Y"
"Rv2292c"																		0				0								"no-data"	"non-essential"						
"Rv2293c"																		0	"Y"			1								"non-essential"	"non-essential"						
"Rv2294"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv2295"																		0				0								"non-essential"	"non-essential"						
"Rv2296"			"Y"						"Y"									2				0								"non-essential"	"non-essential"					"Y"	"Y"
"Rv2297"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv2298"			"Y"						"Y"				"Y"					3				0								"non-essential"	"non-essential"						"Y"
"Rv2299c"			"Y"			"Y"			"Y"									3				0								"non-essential"	"non-essential"						"Y"
"Rv2300c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv2301"	"Y"	"Y"	"Y"	"Y"		"Y"								"Y"				6	"Y"	"Y"	"Y"	3				"Y"				"non-essential"	"non-essential"					"Y"	"Y"
"Rv2302"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						"Y"
"Rv2303c"																		0				0								"non-essential"	"non-essential"						
"Rv2304c"																		0				0								"non-essential"	"non-essential"						
"Rv2305"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv2306A"																		0			"Y"	1								"no-data"	"non-essential"						
"Rv2306B"																		0			"Y"	1								"no-data"	"non-essential"						
"Rv2307A"																		0				0								"no-data"	"non-essential"						
"Rv2307B"																		0				0								"no-data"	"non-essential"						
"Rv2307c"									"Y"									1	"Y"		"Y"	2								"non-essential"	"non-essential"					"Y"	
"Rv2307D"																		0				0								"no-data"	"non-essential"						
"Rv2308"																		0				0								"non-essential"	"non-essential"						
"Rv2309A"																		0				0	"Y"							"no-data"	"non-essential"						
"Rv2309c"																		0				0								"non-essential"	"non-essential"						
"Rv2310"																		0				0								"non-essential"	"non-essential"						
"Rv2311"																		0				0								"non-essential"	"non-essential"						
"Rv2312"																		0				0								"non-essential"	"non-essential"						
"Rv2313c"																		0				0								"non-essential"	"non-essential"						
"Rv2314c"		"Y"	"Y"			"Y"			"Y"									4				0								"non-essential"	"non-essential"						"Y"
"Rv2315c"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv2316"																		0			"Y"	1								"no-data"	"non-essential"						
"Rv2317"																		0			"Y"	1								"no-data"	"essential"						
"Rv2318"																		0	"Y"		"Y"	2								"no-data"	"essential"						
"Rv2319c"			"Y"															1				0								"essential"	"non-essential"						
"Rv2320c"	"Y"		"Y"	"Y"														3			"Y"	1								"non-essential"	"non-essential"						
"Rv2321c"																		0				0								"no-data"	"non-essential"						
"Rv2322c"																		0				0								"non-essential"	"non-essential"						
"Rv2323c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv2324"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv2325c"																		0			"Y"	1								"essential"	"non-essential"						
"Rv2326c"			"Y"	"Y"					"Y"									3			"Y"	1								"non-essential"	"non-essential"						
"Rv2327"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv2328"																		0				0			"Y"					"non-essential"	"non-essential"						
"Rv2329c"																		0			"Y"	1								"no-data"	"non-essential"						
"Rv2330c"			"Y"	"Y"														2	"Y"		"Y"	2		"Y"						"no-data"	"non-essential"						
"Rv2331"																		0				0								"no-data"	"non-essential"						
"Rv2331A"																		0				0								"no-data"	"non-essential"						
"Rv2332"																		0				0								"non-essential"	"non-essential"						
"Rv2333c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv2334"		"Y"	"Y"			"Y"												3				0								"non-essential"	"non-essential"						"Y"
"Rv2335"																		0				0					"Y"			"growth-defect"	"non-essential"						
"Rv2336"																		0				0								"non-essential"	"non-essential"						
"Rv2337c"																		0				0								"non-essential"	"non-essential"						
"Rv2338c"																		0				0				"Y"				"essential"	"non-essential"						"Y"
"Rv2339"	"Y"		"Y"						"Y"									3			"Y"	1								"non-essential"	"essential"						
"Rv2340c"																		0	"Y"			1								"non-essential"	"non-essential"						
"Rv2341"																		0	"Y"			1								"non-essential"	"non-essential"						
"Rv2342"																		0				0								"non-essential"	"non-essential"						
"Rv2343c"																		0				0								"essential"	"essential"						
"Rv2344c"										"Y"								1				0								"non-essential"	"non-essential"						
"Rv2345"		"Y"	"Y"	"Y"					"Y"			"Y"						5	"Y"		"Y"	2								"non-essential"	"non-essential"						"Y"
"Rv2346c"		"Y"	"Y"			"Y"							"Y"					4				0								"no-data"	"non-essential"						"Y"
"Rv2347c"		"Y"							"Y"									2				0								"no-data"	"non-essential"						
"Rv2348c"																		0				0								"no-data"	"non-essential"						
"Rv2349c"			"Y"															1		"Y"		1								"no-data"	"non-essential"						
"Rv2350c"			"Y"													"Y"		2	"Y"	"Y"		2								"no-data"	"non-essential"						
"Rv2351c"			"Y"													"Y"		2		"Y"		1								"no-data"	"non-essential"						
"Rv2352c"																		0				0								"no-data"	"non-essential"						
"Rv2353c"																		0				0								"no-data"	"non-essential"						
"Rv2354"																		0				0								"n/a"	"non-essential"						"Y"
"Rv2355"																		0				0								"no-data"	"non-essential"						
"Rv2356c"																		0				0								"no-data"	"essential"						
"Rv2357c"			"Y"															1				0								"essential"	"essential"						
"Rv2358"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv2359"			"Y"															1				0					"Y"			"non-essential"	"non-essential"						
"Rv2360c"																		0				0								"non-essential"	"non-essential"						
"Rv2361c"			"Y"															1				0								"essential"	"essential"						
"Rv2362c"																		0				0								"no-data"	"non-essential"						
"Rv2363"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv2364c"																		0				0								"essential"	"essential"						
"Rv2365c"																		0				0								"essential"	"non-essential"						
"Rv2366c"												"Y"						1			"Y"	1								"non-essential"	"non-essential"						
"Rv2367c"										"Y"								1				0								"non-essential"	"non-essential"						
"Rv2368c"																		0				0								"non-essential"	"non-essential"						
"Rv2369c"																		0				0								"non-essential"	"non-essential"						
"Rv2370c"																		0				0								"no-data"	"non-essential"						
"Rv2371"																		0				0								"non-essential"	"non-essential"						
"Rv2372c"																		0				0								"non-essential"	"non-essential"						
"Rv2373c"									"Y"									1				0								"essential"	"essential"						"Y"
"Rv2374c"																		0				0		"Y"			"Y"			"non-essential"	"essential"						"Y"
"Rv2375"																		0				0								"non-essential"	"non-essential"						
"Rv2376c"		"Y"	"Y"	"Y"		"Y"			"Y"	"Y"				"Y"				7	"Y"		"Y"	2								"non-essential"	"non-essential"						"Y"
"Rv2377c"																		0				0								"no-data"	"non-essential"						"Y"
"Rv2378c"																		0				0								"essential"	"non-essential"						
"Rv2379c"												"Y"						1				0								"no-data"	"essential"						
"Rv2380c"																		0				0								"no-data"	"essential"						"Y"
"Rv2381c"																		0				0								"no-data"	"essential"						
"Rv2382c"																		0				0								"essential"	"non-essential"						
"Rv2383c"									"Y"									1				0								"growth-defect"	"non-essential"					"Y"	"Y"
"Rv2384"																		0				0								"no-data"	"non-essential"						
"Rv2385"																		0				0	"Y"							"non-essential"	"non-essential"					"Y"	
"Rv2386c"																		0				0								"essential"	"essential"						
"Rv2387"			"Y"	"Y"														2			"Y"	1	"Y"				"Y"			"non-essential"	"non-essential"						
"Rv2388c"																		0				0					"Y"			"non-essential"	"non-essential"						
"Rv2389c"																		0	"Y"		"Y"	2								"non-essential"	"non-essential"						
"Rv2390c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv2391"		"Y"	"Y"						"Y"									3				0					"Y"			"essential"	"essential"						"Y"
"Rv2392"																		0				0								"essential"	"essential"						
"Rv2393"																		0				0								"non-essential"	"essential"						
"Rv2394"	"Y"	"Y"	"Y"							"Y"								4	"Y"	"Y"		2								"non-essential"	"non-essential"						"Y"
"Rv2395"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv2396"																		0	"Y"			1			"Y"					"non-essential"	"non-essential"						
"Rv2397c"																		0				0								"essential"	"essential"						
"Rv2398c"																		0			"Y"	1								"essential"	"essential"						
"Rv2399c"				"Y"														1			"Y"	1								"essential"	"essential"						
"Rv2400c"		"Y"	"Y"															2				0								"essential"	"essential"						"Y"
"Rv2401"						"Y"												1				0								"non-essential"	"non-essential"						
"Rv2401A"																		0			"Y"	1								"no-data"	"non-essential"						
"Rv2402"			"Y"									"Y"						2				0								"non-essential"	"non-essential"						"Y"
"Rv2403c"																		0	"Y"		"Y"	2								"no-data"	"non-essential"						
"Rv2404c"													"Y"					1				0								"non-essential"	"non-essential"						
"Rv2405"			"Y"									"Y"						2				0								"non-essential"	"non-essential"						
"Rv2406c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv2407"																		0				0								"non-essential"	"non-essential"						
"Rv2408"																		0				0								"non-essential"	"non-essential"						
"Rv2409c"																		0				0								"non-essential"	"non-essential"						
"Rv2410c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv2411c"																		0				0								"non-essential"	"non-essential"						"Y"
"Rv2412"			"Y"															1				0								"essential"	"non-essential"						"Y"
"Rv2413c"																		0				0								"non-essential"	"essential"						
"Rv2414c"																		0			"Y"	1								"growth-defect"	"non-essential"						
"Rv2415c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv2416c"			"Y"															1				0							"Y"	"no-data"	"non-essential"						"Y"
"Rv2417c"																		0				0								"non-essential"	"non-essential"						
"Rv2418c"												"Y"						1				0								"essential"	"essential"						
"Rv2419c"																		0				0								"non-essential"	"non-essential"						
"Rv2420c"																		0				0								"no-data"	"non-essential"						
"Rv2421c"																		0				0								"essential"	"essential"						
"Rv2422"																		0				0								"non-essential"	"non-essential"						
"Rv2423"																		0				0						"Y"		"non-essential"	"non-essential"						
"Rv2424c"																		0				0								"non-essential"	"non-essential"						
"Rv2425c"																		0				0								"non-essential"	"non-essential"						
"Rv2426c"																		0				0								"non-essential"	"non-essential"						
"Rv2427Ac"																		0				0								"no-data"	"no-data"						
"Rv2427c"		"Y"	"Y"															2				0								"non-essential"	"non-essential"						"Y"
"Rv2428"									"Y"									1				0								"no-data"	"non-essential"						"Y"
"Rv2429"		"Y"	"Y"															2				0		"Y"						"non-essential"	"non-essential"						"Y"
"Rv2430c"		"Y"				"Y"												2				0								"non-essential"	"non-essential"						
"Rv2431c"		"Y"	"Y"			"Y"			"Y"									4				0								"non-essential"	"non-essential"						
"Rv2432c"																		0				0								"non-essential"	"non-essential"						
"Rv2433c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv2434c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv2435c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv2436"																		0				0								"no-data"	"non-essential"						
"Rv2437"																		0			"Y"	1					"Y"			"essential"	"non-essential"						
"Rv2438A"																		0				0								"no-data"	"non-essential"						
"Rv2438c"		"Y"																1				0								"essential"	"essential"						"Y"
"Rv2439c"																		0				0								"essential"	"essential"						
"Rv2440c"																		0				0								"essential"	"essential"						
"Rv2441c"			"Y"						"Y"			"Y"						3				0								"essential"	"non-essential"						"Y"
"Rv2442c"			"Y"							"Y"								2				0								"essential"	"non-essential"						"Y"
"Rv2443"	"Y"		"Y"															2			"Y"	1								"non-essential"	"non-essential"						
"Rv2444c"			"Y"						"Y"									2				0								"essential"	"essential"						"Y"
"Rv2445c"		"Y"	"Y"			"Y"												3				0								"non-essential"	"non-essential"						"Y"
"Rv2446c"																		0			"Y"	1				"Y"				"non-essential"	"non-essential"						
"Rv2447c"																		0				0								"essential"	"essential"						
"Rv2448c"		"Y"	"Y"															2				0								"essential"	"essential"						"Y"
"Rv2449c"																		0				0			"Y"					"non-essential"	"non-essential"						"Y"
"Rv2450c"						"Y"									"Y"			2	"Y"			1								"non-essential"	"non-essential"						
"Rv2451"																		0		"Y"		1								"no-data"	"non-essential"						
"Rv2452c"																		0	"Y"		"Y"	2								"non-essential"	"non-essential"						
"Rv2453c"																		0				0								"non-essential"	"non-essential"						"Y"
"Rv2454c"			"Y"															1				0								"no-data"	"essential"						"Y"
"Rv2455c"			"Y"						"Y"									2				0								"no-data"	"essential"						"Y"
"Rv2456c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv2457c"			"Y"															1				0								"essential"	"essential"						"Y"
"Rv2458"																		0				0								"non-essential"	"non-essential"						
"Rv2459"																		0			"Y"	1	"Y"							"non-essential"	"non-essential"						
